index,mchirp_msun,duration_20_to_fmax_s,t20_range_s,g_logm_logm,g_logm_t20,g_t20_t20,metric_det,metric_sqrt_det,metric_correlation,metric_volume_density
26,9.3730344813375936e-03,5.0376370336066186e+05,3.2061363703360662e+07,1.4520611854229525e+07,-1.8158430308930640e+01,2.2931598408142833e-05,3.2522483974187821e+00,1.8033991231612547e+00,-9.9510448009911756e-01,5.7819435189994693e+07
27,1.0491517266654087e-02,4.1751077067096950e+05,3.1975110770670969e+07,1.4576294810494762e+07,-2.1994507809340060e+01,3.3514341838980521e-05,4.7565532495583511e+00,2.1809523721434982e+00,-9.9511971072434036e-01,6.9736193684845969e+07
28,1.1743468433372591e-02,3.4602794534692826e+05,3.1903627945346929e+07,1.4574711371695062e+07,-2.6536221193131478e+01,4.8789658424520062e-05,6.9241542501700906e+00,2.6313787736033158e+00,-9.9511943507755718e-01,8.3950529376323476e+07
29,1.3144814743234930e-02,2.8678572006822808e+05,3.1844385720068227e+07,1.4573023662685735e+07,-3.2015402706972125e+01,7.1026122830766805e-05,1.0079358191989968e+01,3.1748004964076038e+00,-9.9511914095599252e-01,1.0109957159186782e+08
30,1.4713383496049830e-02,2.3768781513685436e+05,3.1795287815136854e+07,1.4514083787496408e+07,-3.8473983145144800e+01,1.0299314321415715e-04,1.4603731095007788e+01,3.8214828398159515e+00,-9.9510333385446958e-01,1.2150514677255471e+08
31,1.6469129320612619e-02,1.9699697669631237e+05,3.1754596976696312e+07,1.4512177363156326e+07,-4.6416910608303930e+01,1.4992836883767375e-04,2.1257489921763408e+01,4.6105845531519547e+00,-9.9510299816266545e-01,1.4640725431232178e+08
32,1.8434388028551102e-02,1.6327348431948418e+05,3.1720873484319486e+07,1.4510149126842117e+07,-5.5998889618387309e+01,2.1824846508123748e-04,3.0942136540824322e+01,5.5625656437317055e+00,-9.9510264055083586e-01,1.7644944103303561e+08
33,2.0634160760512346e-02,1.3532419105315869e+05,3.1692924191053160e+07,1.4507992790232321e+07,-6.7557933354939593e+01,3.1769468952653454e-04,4.5037905955599854e+01,6.7110286808804398e+00,-9.9510225981783462e-01,2.1269212322712725e+08
34,2.3096432039470940e-02,1.1216029188142795e+05,3.1669760291881427e+07,1.4505701958291365e+07,-8.1501704477863214e+01,4.6244443911820166e-04,6.5553373320900391e+01,8.0965037714374208e+00,-9.9510185473118107e-01,2.5641433364373705e+08
35,2.5852525777290428e-02,9.2962325575854324e+04,3.1650562325575855e+07,1.4503270166543869e+07,-9.8321851750306720e+01,6.7313080504644452e-04,9.5411391402461959e+01,9.7678754804953343e+00,-9.9510142403125379e-01,3.0915875168388176e+08
36,2.8937503763493650e-02,7.7051170977417671e+04,3.1634651170977417e+07,1.4500690926034523e+07,-1.1861129394571174e+02,9.7978118529988990e-04,1.3886509170142926e+02,1.1784103347367132e+01,-9.9510096643555157e-01,3.7278599875670654e+08
37,3.2390611705637923e-02,6.3864010969742725e+04,3.1621464010969743e+07,1.4497957781451270e+07,-1.4308505608986624e+02,1.4260930173228027e-03,2.0210308132827777e+02,1.4216296329504312e+01,-9.9510048064601819e-01,4.4954010275270182e+08
38,3.6255778495620443e-02,5.2934413268150784e+04,3.1610534413268153e+07,1.4495064376110356e+07,-1.7260538708804691e+02,2.0756547682314499e-03,2.9412983628077563e+02,1.7150213884403179e+01,-9.9509996536072998e-01,5.4212742618783593e+08
39,4.0582175053356394e-02,4.3875822890828858e+04,3.1601475822890829e+07,1.4492004531410033e+07,-2.0821203728022408e+02,3.0209967665819392e-03,4.2804636229910102e+02,2.0689281338391169e+01,-9.9509941928328272e-01,6.5381182400815499e+08
40,4.5424839857188655e-02,3.6367881956629433e+04,3.1593967881956629e+07,1.4488772339576570e+07,-2.5115875451618854e+02,4.3967585023938173e-03,6.2291300315858825e+02,2.4958225160427340e+01,-9.9509884113510461e-01,7.8852936410918319e+08
41,5.0845379118746294e-02,3.0145092544632502e+04,3.1587745092544634e+07,1.4485362278967360e+07,-3.0295727441179861e+02,6.3988436883089077e-03,9.0645887261237658e+02,3.0107455432373833e+01,-9.9509822967444528e-01,9.5102662758297276e+08
42,5.6912750509563223e-02,2.4987421297117882e+04,3.1582587421297118e+07,1.4481769343630347e+07,-3.6543034183050696e+02,9.3122845696225007e-03,1.3190224691599142e+03,3.6318348932184598e+01,-9.9509758371690737e-01,1.1470274301478930e+09
43,6.3704140409675425e-02,2.0712513186599692e+04,3.1578312513186600e+07,1.4477989196925847e+07,-4.4077561591711418e+02,1.3551773214212290e-02,1.9192826074432523e+03,4.3809617750480911e+01,-9.9509690215513169e-01,1.3834338004079332e+09
44,7.1305945838160148e-02,1.7169238832591091e+04,3.1574769238832589e+07,1.4474018350820696e+07,-5.3164269089269021e+02,1.9720614996903002e-02,2.7925925750233000e+03,5.2844986280850712e+01,-9.9509618398516975e-01,1.6685682472471352e+09
45,7.9814873557298424e-02,1.4232346961550202e+04,3.1571832346961550e+07,1.4469854372642796e+07,-6.4122592284388827e+02,2.8696472870803371e-02,4.0630993220233941e+03,6.3742445215283311e+01,-9.9509542833503828e-01,2.0124657937223063e+09
46,8.9339170332670151e-02,1.1798032725269903e+04,3.1569398032725271e+07,1.4465496129128760e+07,-7.7337630528579405e+02,4.1756070437304872e-02,5.9113657009558519e+03,7.6885406293755466e+01,-9.9509463450578306e-01,2.4272259941953669e+09
47,1.0000000000000001e-01,9.7802650138372865e+03,3.1567380265013836e+07,1.4460944064875122e+07,-9.3273630240973671e+02,6.0756545290921685e-02,8.5999931940826355e+03,9.2736148259902592e+01,-9.9509380200566433e-01,2.9274372564330463e+09
