mchirp_index,mchirp_msun,duration_20_to_fmax_s,max_dfdt_hz_per_s,mean_dfdt_hz_per_s,t20_min_s,t20_max_s,t20_spacing_min_s,t20_spacing_max_s,t20_spacing_s,n_t20_templates,t20_worst_edge_error_hz
21,6.1678597904683108e-02,2.1856957951564607e+04,2.3264800287047784e-02,2.0130889256183204e-03,-2.1856957951564607e+04,3.1557600000000000e+07,1.4327796895764029e+00,1.0164538578220946e+02,1.4336861084119399e+00,22026759,1.6666666666666666e-02
22,6.3422898295472416e-02,2.0865608314047782e+04,2.4369305114715231e-02,2.1087331525521343e-03,-2.0865608314047782e+04,3.1557600000000000e+07,1.3678409448452118e+00,9.7034082103954063e+01,1.3686670116808728e+00,23072425,1.6666666666666666e-02
23,6.5132629274125581e-02,1.9961965110145240e+04,2.5471621134383577e-02,2.2041918096349115e-03,-1.9961965110145240e+04,3.1557600000000000e+07,1.3086459302088709e+00,9.2830780943946351e+01,1.3094020445047019e+00,24116018,1.6666666666666666e-02
24,6.6808448343139482e-02,1.9135550294089080e+04,2.6570829288087613e-02,2.2993851404206275e-03,-1.9135550294089080e+04,3.1557600000000000e+07,1.2545085805160596e+00,8.8986736762893898e+01,1.2552033637797630e+00,25156670,1.6666666666666666e-02
25,6.8452144280318594e-02,1.8376932412972805e+04,2.7666849219671170e-02,2.3943060251415591e-03,-1.8376932412972805e+04,3.1557600000000000e+07,1.2048113274002044e+00,8.5458073584898173e+01,1.2054521681037786e+00,26194302,1.6666666666666666e-02
26,7.0066973118106612e-02,1.7677465595773298e+04,2.8760723194245125e-02,2.4890445839996687e-03,-1.7677465595773298e+04,3.1557600000000000e+07,1.1589880097313814e+00,8.2204570723012282e+01,1.1595810174269365e+00,27229903,1.6666666666666666e-02
27,7.1656986750519250e-02,1.7029486582918609e+04,2.9854218551451869e-02,2.5837537606174287e-03,-1.7029486582918609e+04,3.1557600000000000e+07,1.1165367894619458e+00,7.9190579071650944e+01,1.1170871221988397e+00,28265146,1.6666666666666666e-02
28,7.3226816682248480e-02,1.6426253827723431e+04,3.0949705532911275e-02,2.6786387487656464e-03,-1.6426253827723431e+04,3.1557600000000000e+07,1.0770161705702614e+00,7.6384737661397949e+01,1.0775282263538983e+00,29302274,1.6666666666666666e-02
29,7.4780307503685209e-02,1.5862290950331695e+04,3.2049201659969231e-02,2.7738742239550159e-03,-1.5862290950331695e+04,3.1557600000000000e+07,1.0400675089192013e+00,7.3761570997559318e+01,1.0405450121472148e+00,30343198,1.6666666666666666e-02
30,7.6319318314523613e-02,1.5333547090341946e+04,3.3153458315443314e-02,2.8695252142743950e-03,-1.5333547090341946e+04,3.1557600000000000e+07,1.0054255280453270e+00,7.1302234693781472e+01,1.0058717299491504e+00,31388629,1.6666666666666666e-02
31,7.7844016765451995e-02,1.4837010740125486e+04,3.4262074424190297e-02,2.9655569285938163e-03,-1.4837010740125486e+04,3.1557600000000000e+07,9.7289302803565103e-01,6.8992719097443214e+01,9.7331080753837851e-01,32438187,1.6666666666666666e-02
32,7.9353523354203301e-02,1.4370308038227296e+04,3.5373891374405518e-02,3.0618689511006324e-03,-1.4370308038227296e+04,3.1557600000000000e+07,9.4231457264697172e-01,6.6821980712125395e+01,9.4270649905070059e-01,33490775,1.6666666666666666e-02
33,8.0846067125047466e-02,1.3931540544647993e+04,3.6487060905575505e-02,3.1583011124281767e-03,-1.3931540544647993e+04,3.1557600000000000e+07,9.1356586433739695e-01,6.4781187567893156e+01,9.1393422536005509e-01,34544644,1.6666666666666666e-02
34,8.2319217258929225e-02,1.3519138285001955e+04,3.7599181635310092e-02,3.2546453089257409e-03,-1.3519138285001955e+04,3.1557600000000000e+07,8.8654411834403812e-01,6.2863035639992169e+01,8.8689099760814805e-01,35597520,1.6666666666666666e-02
35,8.3771583162776317e-02,1.3131363656501264e+04,3.8708578468723547e-02,3.3507563381062751e-03,-1.3131363656501264e+04,3.1557600000000000e+07,8.6113555836896982e-01,6.1059441408023822e+01,8.6146283215503217e-01,36647817,1.6666666666666666e-02
36,8.5203163754718605e-02,1.2766279766679472e+04,3.9814622753059206e-02,3.4465796460799686e-03,-1.2766279766679472e+04,3.1557600000000000e+07,8.3721334093946986e-01,5.9361394618111810e+01,8.3752267856877760e-01,37694940,1.6666666666666666e-02
37,8.6615049983094120e-02,1.2421881993952860e+04,4.0917559490105906e-02,3.5421363704324187e-03,-1.2421881993952860e+04,3.1557600000000000e+07,8.1464617510713266e-01,5.7759570204471999e+01,8.1493905597220462e-01,38739121,1.6666666666666666e-02
38,8.8008899040447230e-02,1.2096249578801358e+04,4.2018134932843294e-02,3.6374910846011205e-03,-1.2096249578801358e+04,3.1557600000000000e+07,7.9330825574741248e-01,5.6245033352182851e+01,7.9358600001228730e-01,39781066,1.6666666666666666e-02
39,8.9386911080222300e-02,1.1787549768391544e+04,4.3117598884771964e-02,3.7327520022852017e-03,-1.1787549768391544e+04,3.1557600000000000e+07,7.7307953586223044e-01,5.4809258758877988e+01,7.7334327707713368e-01,40821960,1.6666666666666666e-02
40,9.0751239182615240e-02,1.1494159119315076e+04,4.4217245840307742e-02,3.8280312237944647e-03,-1.1494159119315076e+04,3.1557600000000000e+07,7.5385367631710776e-01,5.3444694798800626e+01,7.5410446710717427e-01,41863026,1.6666666666666666e-02
41,9.2103064689411124e-02,1.1214823419554810e+04,4.5317653565903983e-02,3.9233787598723195e-03,-1.1214823419554810e+04,3.1557600000000000e+07,7.3554852712878782e-01,5.2145507287292141e+01,7.3578727773983854e-01,42904813,1.6666666666666666e-02
42,9.3443419722553780e-02,1.0948438773418891e+04,4.6419321453569820e-02,4.0188378371193130e-03,-1.0948438773418891e+04,3.1557600000000000e+07,7.1809178354049108e-01,5.0906561270261172e+01,7.1831932850627445e-01,43947793,1.6666666666666666e-02
43,9.4773129286222502e-02,1.0694043201411037e+04,4.7522614971072810e-02,4.1144400832600313e-03,-1.0694043201411037e+04,3.1557600000000000e+07,7.0142043643060159e-01,4.9723381936390076e+01,7.0163753187075473e-01,44992312,1.6666666666666666e-02
44,9.6092979670685683e-02,1.0450767720194135e+04,4.8627898168462150e-02,4.2102170077876963e-03,-1.0450767720194135e+04,3.1557600000000000e+07,6.8547756717463515e-01,4.8591927076761145e+01,6.8568490973499174e-01,46038714,1.6666666666666666e-02
45,9.7403641700075677e-02,1.0217839349530537e+04,4.9735466113769722e-02,4.3061941468106558e-03,-1.0217839349530537e+04,3.1557600000000000e+07,6.7021254525057505e-01,4.7508601058114984e+01,6.7041074595432726e-01,47087280,1.6666666666666666e-02
46,9.8705800003436567e-02,9.9945479579956445e+03,5.0845650421060720e-02,4.4024002070849012e-03,-9.9945479579956445e+03,3.1557600000000000e+07,6.5557885595512744e-01,4.6470100615089727e+01,6.5576849986018404e-01,48138322,1.6666666666666666e-02
47,1.0000000000000002e-01,9.7802650138372774e+03,5.1958686907188668e-02,4.4988555972407789e-03,-9.7802650138372774e+03,3.1557600000000000e+07,6.4153532965286597e-01,4.5473502049799293e+01,6.4171692948305314e-01,49192065,1.6666666666666666e-02
