t_obs_s,f_ratio,strobo_input_hz,eps,strobo_samples,strobo_output_samples,nufft_samples,nufft_modes,strobo_seconds,nufft_seconds,nufft_speedup
300.0,14.050017282986396,7193.608848889035,0.07117428967229322,2158211,153617,153600,153617,0.023436505998688517,0.019809989997156663,1.183065009222739
300.0,17.448123722644123,8933.439345993791,0.05731275270029195,2680160,153617,153600,153617,0.030624042003182694,0.01894765299948631,1.6162446084490225
300.0,21.668088750990286,11094.061440507026,0.04615081706060935,3328347,153617,153600,153617,0.030254651999712223,0.018467387999407947,1.638274562741746
300.0,26.908685288118853,13777.246867516853,0.03716272234383505,4133303,153617,153600,153617,0.034594731998367934,0.01840017100039404,1.8801310051752829
300.0,33.41676103767723,17109.381651290743,0.029925102521830435,5132943,153617,153600,153617,0.059509917999093886,0.018815007999364752,3.162896236935063
300.0,41.498865748832294,21247.419263402135,0.024097044146999085,6374354,153617,153600,153617,0.07088462500178139,0.020112439000513405,3.5244171529853707
300.0,51.53569062237612,26386.273598656575,0.019404028313648194,7916011,153617,153600,153617,0.08905789799973718,0.01889481599937426,4.713350900198579
300.0,64.0,32768.0,0.015625,9830528,153617,153600,153617,0.10761862299841596,0.018945623996842187,5.680394745317102
3000.0,2.0,1024.0,0.5,3072128,1537849,1536000,1537849,0.07034829700205592,0.05173050799930934,1.3598995974096204
3000.0,2.483715624146968,1271.6623995632476,0.40262258298731357,3815116,1537849,1536000,1537849,0.059597971998300636,0.04413179300172487,1.350454353757421
3000.0,3.0844216508158815,1579.2238852177313,0.3242098886627524,4737800,1537849,1536000,1537849,0.08172917200135998,0.06095458200070425,1.3408208098353576
3000.0,3.8304131227942935,1961.1715188706783,0.26106844560685355,5883643,1537849,1536000,1537849,0.10070806400108268,0.04325342299853219,2.328325876185573
3000.0,4.756828460010883,2435.496171525572,0.21022410381342868,7306617,1537849,1536000,1537849,0.10804814099901705,0.03958364600111963,2.729615685123116
3000.0,5.9073045837579965,3024.539946884094,0.1692819433671116,9073748,1537849,1536000,1537849,0.11040094700001646,0.03909372700218228,2.8240067004574336
3000.0,7.336032345637369,3756.048560966333,0.13631346658315724,11268274,1537849,1536000,1537849,0.13065908099815715,0.04732454099939787,2.7609159695773826
3000.0,9.110309078053533,4664.478247963409,0.10976576002333123,13993563,1537849,1536000,1537849,0.11331482499736012,0.03987347699876409,2.841859640203246
3000.0,11.31370849898476,5792.618751480197,0.08838834764831845,17377985,1537849,1536000,1537849,0.15861389500059886,0.056037787999230204,2.830481014039629
3000.0,14.050017282986396,7193.608848889035,0.07117428967229322,21580955,1537849,1536000,1537849,0.18487375900076586,0.05628644100215752,3.284516762992342
3000.0,17.448123722644123,8933.439345993791,0.05731275270029195,26800447,1537849,1536000,1537849,0.2687222220010881,0.05678438899849425,4.732325675076186
3000.0,21.668088750990286,11094.061440507026,0.04615081706060935,33282313,1537849,1536000,1537849,0.32428657400305383,0.04785710299984203,6.776143010664985
3000.0,26.908685288118853,13777.246867516853,0.03716272234383505,41331869,1537849,1536000,1537849,0.4919450550005422,0.05427417299870285,9.064072795955816
3000.0,33.41676103767723,17109.381651290743,0.029925102521830435,51328273,1537849,1536000,1537849,0.5645766929992533,0.05509663300108514,10.247027127558482
3000.0,41.498865748832294,21247.419263402135,0.024097044146999085,63742386,1537849,1536000,1537849,0.6856549449985323,0.07859323800221318,8.724095894601318
3000.0,51.53569062237612,26386.273598656575,0.019404028313648194,79158949,1537849,1536000,1537849,0.5210459100017033,0.05131287299809628,10.154292277125746
3000.0,64.0,32768.0,0.015625,98304128,1537849,1536000,1537849,1.015211800000543,0.06061006600066321,16.74988771649637
